District,RepName,Score,State,Year
1,Edwards,22,Alabama,1980
2,Dickinson,17,Alabama,1980
3,Nichols,17,Alabama,1980
4,Bevill,31,Alabama,1980
5,Flippo,31,Alabama,1980
6,Buchanan,31,Alabama,1980
7,Shelby,17,Alabama,1980
1,Young ,6,Alaska,1980
1,Rhodes,12,Arizona,1980
2,Udall,61,Arizona,1980
3,Stump,13,Arizona,1980
4,Rudd,17,Arizona,1980
1,Alexander,31,Arkansas,1980
2,Bethune,17,Arkansas,1980
3,Rammerschmidt,17,Arkansas,1980
4,Anthony,26,Arkansas,1980
1,Johnson,30,California,1980
2,Clausen,39,California,1980
3,Matsui,76,California,1980
4,Fazio,58,California,1980
5,"Burton,  J.",94,California,1980
6,"Burton,  P.",88,California,1980
7,Miller,88,California,1980
8,Dellums,92,California,1980
9,Stark,87,California,1980
10,Edwards,96,California,1980
11,Royer ,35,California,1980
12,McCloskey,63,California,1980
13,Mineta,72,California,1980
14,Shumway,17,California,1980
15,Coelho,45,California,1980
16,Panetta,63,California,1980
17,Pashayan,28,California,1980
18,Thomas,13,California,1980
19,Lagomarsino,43,California,1980
20,Goldwater,35,California,1980
21,Corman,43,California,1980
22,Moorhead,35,California,1980
23,Beilenson,99,California,1980
24,Waxman,94,California,1980
25,Roybal,61,California,1980
26,Rousselot,22,California,1980
27,Dornan,30,California,1980
28,Dixon,62,California,1980
29,Hawkins,70,California,1980
30,Danielson,52,California,1980
31,"Wilson, C.H.",27,California,1980
32,Anderson,44,California,1980
33,Grisham,30,California,1980
34,Lundgren,31,California,1980
35,Lloyd,39,California,1980
36,Brown,72,California,1980
37,Lewis,40,California,1980
38,Patterson,67,California,1980
39,Dannemeyer,31,California,1980
40,Badham,12,California,1980
41,"Wilson, Bob",12,California,1980
42,Van Deerlin,43,California,1980
43,Burgerer,26,California,1980
1,Schroeder,85,Colorado,1980
2,Wirth,79,Colorado,1980
3,Kogovsek,44,Colorado,1980
4,Johnson,33,Colorado,1980
5,Kramer,22,Colorado,1980
1,Cotter,28,Connecticut,1980
2,Dodd ,79,Connecticut,1980
3,Giaimo ,25,Connecticut,1980
4,McKinney,62,Connecticut,1980
5,Ratchford,87,Connecticut,1980
6,Moffett,94,Connecticut,1980
1,Evans,65,Delaware,1980
1,Hutto,35,Florida,1980
2,Fuqua,26,Florida,1980
3,Bennett,30,Florida,1980
4,Chappell,13,Florida,1980
5,Kelly,41,Florida,1980
6,Young ,30,Florida,1980
7,Gibbons,26,Florida,1980
8,Ireland,31,Florida,1980
9,Nelson,48,Florida,1980
10,Bafalis,17,Florida,1980
11,Mica,42,Florida,1980
12,Stack,76,Florida,1980
13,Lehman,54,Florida,1980
14,Pepper,29,Florida,1980
15,Fascell,43,Florida,1980
1,Ginn,22,Georgia,1980
2,Mathis,16,Georgia,1980
3,Brinkley,61,Georgia,1980
4,Levitas,63,Georgia,1980
5,Fowler,80,Georgia,1980
6,Gingrich,50,Georgia,1980
7,McDonald,39,Georgia,1980
8,Evans,26,Georgia,1980
9,Jenkins,41,Georgia,1980
10,Barnard,17,Georgia,1980
1,Heftel,49,Hawaii,1980
2,Akaka,35,Hawaii,1980
1,Symms,6,Idaho,1980
2,Hansen,5,Idaho,1980
1,Stewart,45,Illinois,1980
2,Murphy,24,Illinois,1980
3,Russo,72,Illinois,1980
4,Derwinski,55,Illinois,1980
5,Fary,26,Illinois,1980
6,Hyde,43,Illinois,1980
7,Collins,81,Illinois,1980
8,Rostenkowski,27,Illinois,1980
9,Yates,79,Illinois,1980
10,Porter,74,Illinois,1980
11,Annunzio,26,Illinois,1980
12,"Crane,  P.",20,Illinois,1980
13,McClory,32,Illinois,1980
14,Erlenborn,39,Illinois,1980
15,Corcoran,36,Illinois,1980
16,Anderson,66,Illinois,1980
17,O'Brien,28,Illinois,1980
18,Michel,22,Illinois,1980
19,Railsback,49,Illinois,1980
20,Findley,48,Illinois,1980
21,Madigan,3,Illinois,1980
22,"Crane,  D.",39,Illinois,1980
23,Price,44,Illinois,1980
24,Simon,72,Illinois,1980
1,Benjamin,30,Indiana,1980
2,Fithian,75,Indiana,1980
3,Brademas,50,Indiana,1980
4,Quayle,37,Indiana,1980
5,Hillis,27,Indiana,1980
6,Evans,52,Indiana,1980
7,Myers,13,Indiana,1980
8,Deckard,72,Indiana,1980
9,Hamilton,61,Indiana,1980
10,Sharp,61,Indiana,1980
11,Jacobs,48,Indiana,1980
1,Leach,63,Iowa,1980
2,Tauke,59,Iowa,1980
3,Grassley,35,Iowa,1980
4,Smith,44,Iowa,1980
5,Harkin,94,Iowa,1980
6,Bedell,88,Iowa,1980
1,Sebelius,13,Kansas,1980
2,Jeffries,30,Kansas,1980
3,Winn,26,Kansas,1980
4,Glickman,81,Kansas,1980
5,Whittaker,48,Kansas,1980
1,Hubbard,31,Kentucky,1980
2,Natcher,30,Kentucky,1980
3,Nazzoli,54,Kentucky,1980
4,Snyder,13,Kentucky,1980
5,Carter,26,Kentucky,1980
6,Hopkins,31,Kentucky,1980
7,Perkins,39,Kentucky,1980
1,Livingston,35,Louisiana,1980
2,Boggs,40,Louisiana,1980
3,Tauzin,20,Louisiana,1980
4,Leach ,18,Louisiana,1980
5,Huckaby,39,Louisiana,1980
6,Moore,30,Louisiana,1980
7,Breaux,22,Louisiana,1980
8,Long,39,Louisiana,1980
1,Emery,77,Maine,1980
2,Snowe,57,Maine,1980
1,Bauman ,30,Maryland,1980
2,Long,60,Maryland,1980
3,Mikulski,74,Maryland,1980
4,Holt,38,Maryland,1980
5,Spellman,70,Maryland,1980
6,Byron,67,Maryland,1980
7,Mitchell,84,Maryland,1980
8,Barnes,91,Maryland,1980
1,Conte,76,Massachusetts,1980
2,Boland,63,Massachusetts,1980
3,Early,79,Massachusetts,1980
4,Drinan ,90,Massachusetts,1980
5,Shannon,88,Massachusetts,1980
6,Mavroules,85,Massachusetts,1980
7,Markey,100,Massachusetts,1980
8,O'Neill,NA,Massachusetts,1980
9,Moakley,69,Massachusetts,1980
10,Heckler,74,Massachusetts,1980
11,Donnelly,76,Massachusetts,1980
12,Studds,96,Massachusetts,1980
1,Conyers,81,Michigan,1980
2,Pursell,77,Michigan,1980
3,Volpe,99,Michigan,1980
4,Stockman ,42,Michigan,1980
5,Sawyer,52,Michigan,1980
6,Carr ,78,Michigan,1980
7,Kildee,83,Michigan,1980
8,Traxler,43,Michigan,1980
9,Vander Jagt,35,Michigan,1980
10,Albosta,30,Michigan,1980
11,Davis,41,Michigan,1980
12,Bonior,88,Michigan,1980
13,Crockett,NA,Michigan,1980
14,Nedzi,52,Michigan,1980
15,Ford,53,Michigan,1980
16,Dingell,58,Michigan,1980
17,Brodhead,78,Michigan,1980
18,Blanchard,52,Michigan,1980
19,Broomfield,57,Michigan,1980
1,Erdahl,58,Minnesota,1980
2,Hagedorn,22,Minnesota,1980
3,Frenzel,31,Minnesota,1980
4,Vento,90,Minnesota,1980
5,Sabo,74,Minnesota,1980
6,Nolan ,95,Minnesota,1980
7,Stangeland,22,Minnesota,1980
8,Oberstar,70,Minnesota,1980
1,Whitten,27,Mississippi,1980
2,Bowen,7,Mississippi,1980
3,Montgomery,17,Mississippi,1980
4,Hinson,17,Mississippi,1980
5,Lott,17,Mississippi,1980
1,Clay,87,Missouri,1980
2,Young ,40,Missouri,1980
3,Gephardt,65,Missouri,1980
4,Skelton,31,Missouri,1980
5,Bolling,57,Missouri,1980
6,Coleman,31,Missouri,1980
7,Taylor,17,Missouri,1980
8,Ichord,12,Missouri,1980
9,Volkmer,39,Missouri,1980
10,Burlison ,31,Missouri,1980
1,Williams ,78,Montana,1980
2,Marlenee,41,Montana,1980
1,Bereuter,52,Nebraska,1980
2,Cavanaugh ,73,Nebraska,1980
3,Smith ,26,Nebraska,1980
1,Santini,50,Nevada,1980
1,D' Amours,72,New Hampshire,1980
2,Cleveland,22,New Hampshire,1980
1,Florio,81,New Jersey,1980
2,Hughes,83,New Jersey,1980
3,Howard,52,New Jersey,1980
4,Thompson,76,New Jersey,1980
5,Fenwick,94,New Jersey,1980
6,Forsythe,70,New Jersey,1980
7,Maguire ,96,New Jersey,1980
8,Roe,61,New Jersey,1980
9,Hollenbeck,82,New Jersey,1980
10,Rodino,72,New Jersey,1980
11,Minish,87,New Jersey,1980
12,Rinaldo,57,New Jersey,1980
13,Courter,46,New Jersey,1980
14,Guarini,74,New Jersey,1980
15,Patten ,45,New Jersey,1980
1,Lujan,43,New Mexico,1980
2,Runnels,21,New Mexico,1980
1,Carney,22,New York,1980
2,Downey,94,New York,1980
3,Ambro,76,New York,1980
4,Lent,32,New York,1980
5,Wydler,24,New York,1980
6,Wolff,69,New York,1980
7,Addabbo,70,New York,1980
8,Rosenthal,84,New York,1980
9,Ferraro,72,New York,1980
10,Biaggi,34,New York,1980
11,Scheuer,65,New York,1980
12,Chisholm,81,New York,1980
13,Solarz,65,New York,1980
14,Richmond,81,New York,1980
15,Zeferetti,43,New York,1980
16,Holtzman,84,New York,1980
17,Murphy,28,New York,1980
18,Green,83,New York,1980
19,Rangel,74,New York,1980
20,Weiss,87,New York,1980
21,Garcia,67,New York,1980
22,Bingham,85,New York,1980
23,Peyser,69,New York,1980
24,Ottinger,84,New York,1980
25,Fish,70,New York,1980
26,Gilman,49,New York,1980
27,McHugh,82,New York,1980
28,Stratton,27,New York,1980
29,Solomon,37,New York,1980
30,McEwan,12,New York,1980
31,Mitchell,58,New York,1980
32,Hanley,43,New York,1980
33,Lee,49,New York,1980
34,Horton,39,New York,1980
35,Conable,47,New York,1980
36,LaFalce,74,New York,1980
37,Nowak,70,New York,1980
38,Kemp,51,New York,1980
39,Lundine,65,New York,1980
1,Jones,35,North Carolina,1980
2,Fountain,43,North Carolina,1980
3,Whitley,30,North Carolina,1980
4,Andrews,31,North Carolina,1980
5,Neal,73,North Carolina,1980
6,Preyer,26,North Carolina,1980
7,Rosenthal,52,North Carolina,1980
8,Hefner,39,North Carolina,1980
9,Martin,48,North Carolina,1980
10,Broyhill,36,North Carolina,1980
11,Gudger,60,North Carolina,1980
1,Andrews,27,North Dakota,1980
1,Gradison,52,Ohio,1980
2,Luken,48,Ohio,1980
3,Hall,88,Ohio,1980
4,Guyer,26,Ohio,1980
5,Latta,31,Ohio,1980
6,Harsha,12,Ohio,1980
7,Brown,12,Ohio,1980
8,Kindness,41,Ohio,1980
9,Ashley,41,Ohio,1980
10,Miller,26,Ohio,1980
11,Stanton,27,Ohio,1980
12,Devine,35,Ohio,1980
13,Pease,88,Ohio,1980
14,Seiberling,91,Ohio,1980
15,Wylie,22,Ohio,1980
16,Regula,26,Ohio,1980
17,Ashbrook,17,Ohio,1980
18,Applegate,35,Ohio,1980
19,Williams ,41,Ohio,1980
20,Oakar,65,Ohio,1980
21,Stokes,70,Ohio,1980
